PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
25429,Administration of catecholamine synthesis inhibitors (alpha-methl-p-tyrosine) or serotonin (parachlorphenylalanine) simultaneously with testosterone propionate prevented the anovular sterility in the majority of the neonatally androgenized rats.,alpha-methl-p-tyrosine,CHEMICAL,prevent,anovular sterility,DISEASE
25429,Administration of catecholamine synthesis inhibitors (alpha-methl-p-tyrosine) or serotonin (parachlorphenylalanine) simultaneously with testosterone propionate prevented the anovular sterility in the majority of the neonatally androgenized rats.,testosterone propionate,CHEMICAL,prevent,anovular sterility,DISEASE
25429,Administration of catecholamine synthesis inhibitors (alpha-methl-p-tyrosine) or serotonin (parachlorphenylalanine) simultaneously with testosterone propionate prevented the anovular sterility in the majority of the neonatally androgenized rats.,catecholamine synthesis inhibitors,CHEMICAL,prevent,anovular sterility,DISEASE
25429,Administration of catecholamine synthesis inhibitors (alpha-methl-p-tyrosine) or serotonin (parachlorphenylalanine) simultaneously with testosterone propionate prevented the anovular sterility in the majority of the neonatally androgenized rats.,serotonin,CHEMICAL,prevent,anovular sterility,DISEASE
21089166,Tricyclic antidepressants (TCA) were used to treat nocturnal enuresis (NE) for decades of years although their real mechanisms are unknown.,TCA,CHEMICAL,treat,NE,CHEMICAL
21089166,Tricyclic antidepressants (TCA) were used to treat nocturnal enuresis (NE) for decades of years although their real mechanisms are unknown.,TCA,CHEMICAL,treat,nocturnal enuresis,MENTAL_HEALTH
33567423,"The main goal of the trial was to investigate whether an oral calcium administration is able to affect craving, withdrawal, and relapse risk in alcohol-dependent patients.",oral calcium administration,CHEMICAL,affect,craving,MENTAL_HEALTH
31017569,"In this study, we investigated whether the addition of vitamin B complex to prime solution for cardiopulmonary bypass (CPB) in cobalamin-deficient patients undergoing on-pump coronary artery bypass grafting (CABG) helps prevent the development of postoperative delirium (POD).",vitamin B complex,BIOCHEMICAL,prevent development of,postoperative delirium,MENTAL_HEALTH
29305876,"In the control group, more left-sided frontal alpha correlated with higher depression scores, which was not observed in the patient group.",left-sided frontal alpha,NUTRITION,correlate in control group with,higher depression scores,MENTAL_HEALTH
30161001,"Despite the success of approved systemic therapies for estrogen receptor α (ER)-positive breast cancer, drug resistance remains common.",drug resistance,MENTAL_HEALTH,approved systemic therapies for,breast cancer common,DISEASE
30161001,"Despite the success of approved systemic therapies for estrogen receptor α (ER)-positive breast cancer, drug resistance remains common.",drug resistance,MENTAL_HEALTH,approved systemic therapies for,estrogen receptor,CHEMICAL
30161001,"Despite the success of approved systemic therapies for estrogen receptor α (ER)-positive breast cancer, drug resistance remains common.",drug resistance,BIOCHEMICAL,approved systemic therapies for,breast cancer common,DISEASE
30161001,"Despite the success of approved systemic therapies for estrogen receptor α (ER)-positive breast cancer, drug resistance remains common.",drug resistance,BIOCHEMICAL,approved systemic therapies for,estrogen receptor,CHEMICAL
30161001,We hypothesized that secreted factors from the human tumor microenvironment could modulate drug resistance.,human tumor microenvironment,DISEASE,modulate,drug resistance,MENTAL_HEALTH
30161001,We hypothesized that secreted factors from the human tumor microenvironment could modulate drug resistance.,human tumor microenvironment,DISEASE,modulate,drug resistance,BIOCHEMICAL
17297634,"Treatment with CRF antagonists has been demonstrated to reduce the severity of certain drug withdrawal symptoms, implicating a specific role for activation of CRF neurons in mediating the anxiogenic and stress-like reactions observed after abrupt drug discontinuation.",CRF antagonists,DISEASE,reduce severity of,drug withdrawal,BIOCHEMICAL
7623152,Differences in NMDA receptor expression may contribute to the relative resistance of striatal interneurons to the neurotoxic effect of NMDA receptor agonists.,NMDA receptor expression,CHEMICAL,contribute to relative resistance of striatal interneurons to neurotoxic effect of,NMDA receptor agonists,CHEMICAL
7623152,Differences in NMDA receptor expression may contribute to the relative resistance of striatal interneurons to the neurotoxic effect of NMDA receptor agonists.,NMDA receptor expression,CHEMICAL,contribute to relative resistance of striatal interneurons to,neurotoxic effect,DISEASE
7623152,Differences in NMDA receptor expression may contribute to the relative resistance of striatal interneurons to the neurotoxic effect of NMDA receptor agonists.,NMDA receptor expression,CHEMICAL,contribute to,relative resistance,MENTAL_HEALTH
2982633,"Unilateral injections of Muscimol produced oro-facial akinesia, reduction of the number of eye movements, contralateral head turning, visual neglect mostly (but not only) for ipsilateral visual space.",Muscimol,CHEMICAL,produce,visual neglect,DISEASE
2982633,"Unilateral injections of Muscimol produced oro-facial akinesia, reduction of the number of eye movements, contralateral head turning, visual neglect mostly (but not only) for ipsilateral visual space.",Muscimol,CHEMICAL,produce,eye movements,DISEASE
2982633,"Unilateral injections of Muscimol produced oro-facial akinesia, reduction of the number of eye movements, contralateral head turning, visual neglect mostly (but not only) for ipsilateral visual space.",Muscimol,CHEMICAL,produce,ipsilateral visual space,DISEASE
22563560,"Germ-tube positive yeast that was isolated from blood and central venous catheter tip cultures formed smooth, white colonies on sheep blood agar and Sabouraud agar plates, indicative of Candida spp.",Germ-tube positive yeast,NUTRITION,form,agar plates,BIOCHEMICAL
22563560,"Germ-tube positive yeast that was isolated from blood and central venous catheter tip cultures formed smooth, white colonies on sheep blood agar and Sabouraud agar plates, indicative of Candida spp.",Germ-tube positive yeast,NUTRITION,form,sheep blood agar,BIOCHEMICAL
34921998,Vitamin B12 deficiency in pregnancy may be associated with antenatal or postpartum depression along with other neurocognitive symptoms including restless leg syndrome.,Vitamin B12 deficiency,BIOCHEMICAL,associated with antenatal or postpartum depression along,restless leg syndrome,DISEASE
34921998,Vitamin B12 deficiency in pregnancy may be associated with antenatal or postpartum depression along with other neurocognitive symptoms including restless leg syndrome.,Vitamin B12 deficiency,DISEASE,associated with antenatal or postpartum depression along,restless leg syndrome,DISEASE
34921998,Vitamin B12 deficiency in pregnancy may be associated with antenatal or postpartum depression along with other neurocognitive symptoms including restless leg syndrome.,Vitamin B12 deficiency,BIOCHEMICAL,associated with,depression,MENTAL_HEALTH
34921998,Vitamin B12 deficiency in pregnancy may be associated with antenatal or postpartum depression along with other neurocognitive symptoms including restless leg syndrome.,Vitamin B12 deficiency,DISEASE,associated with,depression,MENTAL_HEALTH
32618005,Thymoquinone successfully protected against Con A-induced behavioral despair and anxiety-like behavior.,Thymoquinone,CHEMICAL,protect against,A-induced behavioral despair,DISEASE
32618005,Thymoquinone successfully protected against Con A-induced behavioral despair and anxiety-like behavior.,Thymoquinone,CHEMICAL,protect against,anxiety-like behavior,DISEASE
32618005,"Considering inflammation as one of central components involved in pathophysiology of major depressive disorder, thymoquinone has been evaluated in current study for its antidepressant potential.",thymoquinone,CHEMICAL,evaluated considering inflammation as one of central components in,antidepressant potential,CHEMICAL
32618005,"Considering inflammation as one of central components involved in pathophysiology of major depressive disorder, thymoquinone has been evaluated in current study for its antidepressant potential.",thymoquinone,CHEMICAL,evaluated considering,inflammation,DISEASE
32618005,"Thymoquinone might provide benefits against inflammation-related sickness behavior that is associated with poorer outcome of clinical depression, thus, paving the way for effective drug development against treatment-resistant depression.",Thymoquinone,CHEMICAL,pave way for effective drug development against,treatment-resistant depression,MENTAL_HEALTH
32618005,"Thymoquinone might provide benefits against inflammation-related sickness behavior that is associated with poorer outcome of clinical depression, thus, paving the way for effective drug development against treatment-resistant depression.",Thymoquinone,CHEMICAL,pave way for,effective drug development,BIOCHEMICAL
28342763,"Since ketamine, physical exercise or learning enhance neuroplasticity, combinatory paradigms with selective serotonin reuptake inhibitors could enhance clinical treatment of depression.",selective serotonin reuptake inhibitors,CHEMICAL,enhance clinical treatment of,depression,MENTAL_HEALTH
35592556,"To date, a major quantitative trait locus (QTL) mapped on chromosome (Chr.) 10 plays an essential role in resistance to SRKN in soybean varieties.",resistance,MENTAL_HEALTH,have an essential role in,soybean varieties,NUTRITION
30862039,"Thus, tea seed oil (TO) rich in MUFA could prevent obesity, reduce physical fatigue, and improve exercise performance compared with either SO (PUFA)- or LO(SFA)-rich diets in this HFD-induced obese OVX mice model.",MUFA,CHEMICAL,prevent,obesity,DISEASE
30862039,"Thus, tea seed oil (TO) rich in MUFA could prevent obesity, reduce physical fatigue, and improve exercise performance compared with either SO (PUFA)- or LO(SFA)-rich diets in this HFD-induced obese OVX mice model.",MUFA,CHEMICAL,reduce,physical fatigue,MENTAL_HEALTH
2037797,"The photosensitizing dye merocyanine 540 (MC 540) was evaluated as a means for purging malarially infected red cells from murine blood using the rodent malarial pathogens, Plasmodium yoelii and Plasmodium berghei, as models of human malaria.",dye merocyanine,CHEMICAL,evaluated as,Plasmodium yoelii,DISEASE
2037797,"The photosensitizing dye merocyanine 540 (MC 540) was evaluated as a means for purging malarially infected red cells from murine blood using the rodent malarial pathogens, Plasmodium yoelii and Plasmodium berghei, as models of human malaria.",dye merocyanine,CHEMICAL,evaluated as,Plasmodium berghei,DISEASE
2037797,"The photosensitizing dye merocyanine 540 (MC 540) was evaluated as a means for purging malarially infected red cells from murine blood using the rodent malarial pathogens, Plasmodium yoelii and Plasmodium berghei, as models of human malaria.",MC,CHEMICAL,evaluated as,Plasmodium yoelii,DISEASE
